"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_passif","Total_actif","Bénéfices_non_répartis","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","Croissance_adj_des_Bén_ann","Croissance_tot_actif","ratio_tot_liab_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"61",3,"A","A-",49.778,34.5895,10.4029,3.2352,21952,33291,53404,2916,2663,4176,2.9353,43.4162,0.6164,0.2009,0.0886,-1602,-0.1476,34.5895,0.5025,3.4595,15.2777,0.623380271140739,0.05460265148678,0.637691570881226,-0.0299977529773051
"62",3,"A","A-",70.2329,36.9467,8.8596,2.7436,2168.655,3321.088,4831.498,571.987,392.592,396.674,2.3119,46.808,0.5223,0.4243,0,-189.503,-0.2451,36.9467,1,8.8296,6.9019,0.687382670964575,0.118387092367626,0.989709433943238,-0.0392224109375602
"63",5,"BB","BB",31.6153,25.855,8.9689,5.3721,303.755,4162.447,991.967,207.6,77.972,76.657,4.3946,30.8584,5.6849,5.5617,4.6825,359.131,1.2264,25.855,1,28.6509,6.5632,4.19615471079179,0.209281155522311,1.01715433685117,0.362039261386719
"64",6,"B","B",13.3353,8.5901,-65.8721,4.7793,1809.448,2277.6,1888.963,-429.382,94.015,426.714,2.0077,98.6493,1.2143,0.7931,0.1624,91.455,0.0316,8.5901,1,127.2198,10.4016,1.20574092769419,-0.227310963740423,0.220323214143431,0.0484154533466246
"65",6,"B","B",25.128,4.5986,-3.194,-7.0403,881.291,1096.523,1036.37,-227.244,56.234,166.3,0.3697,90.1596,2.6675,0.8252,0.5856,277.304,0.2152,4.5986,0.8656,89.8447,8.5717,1.05804201202273,-0.219269179926088,0.338147925435959,0.267572392099347
"66",6,"B","B",20.1241,-3.7629,-15.1548,-3.861,7719.532,9555.87,12323.803,-770.316,251,865.085,-0.2607,63.4306,1.6418,1.2828,0.6644,555.18,0.0829,-3.7629,1,109.3394,5.5583,0.775399444473431,-0.0625063545725293,0.290144899056162,0.0450494056096158
"67",4,"BBB","BBB+",27.3564,20.6308,23.5246,7.9107,4081.1864,9555.87,14434.6832,179.0096,1980.3801,2375.9456,8.4899,31.1161,1.7617,0.9261,0.4335,1809.8568,0.1835,20.6308,1,17.6845,-10.7829,0.662007601247529,0.0124013528748591,0.833512391866211,0.125382509260751
"68",3,"A","A+",48.054,28.6019,-15.1548,2.1476,6269.861,6806.92,6583.393,-223.527,428.362,514.567,1.38,97.3918,0.3976,0.2274,0.0588,-309.955,-0.5636,28.6019,1,0.7503,1.345,1.03395316062705,-0.0339531606270505,0.832470795834167,-0.0470813454399578
"69",6,"B","B",7.4283,5.0451,3.8678,1.2414,387.2162,721.9979,1072.5498,212.7769,68.4936,274.0296,2.2552,43.0054,1.8661,0.4168,0.015,237.3444,0.2023,5.0451,1,-9.3318,2.6301,0.673160257919959,0.198384168268923,0.249949640476795,0.221289864582512
"70",3,"A","A+",7.5041,-0.9973,-9.2573,-1.7173,351.2844,1103.6564,1328.0572,0,13.5869,275.3976,-0.5046,26.451,1.35,1.2871,1.0175,96.3852,0.1306,-0.9973,1,-25.2551,17.8841,0.831030771867356,0,0.0493355788140492,0.072576090849099
