"","binaire_cote_credit_2008","Cote_crédit","Marge_bénéficiaire.nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_B_non_rep_sur_Tot_actif","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Ratio_Fonds_de_roulmt_sur_ventes","ratio_Fonds_de_roulement_sur_tot_actif","Total_actif","Marge_opérationnelle"
"87","firm_inv","A",7.1011,11.3578,4.7968,17.6977,6.1733,1.5272,52.2248,0.148741713468393,0.474609176710726,0.9754,0.5982,0.4315,0.0712,-0.00698104763919287,2779.812,4.7968
"88","firm_inv","BBB",9.5773,37.3363,18.2192,8.8603,2.6363,2.4847,42.138,0.0447327451997924,0.77953488372093,0.8233,0.4158,0.0326,-0.0374,-0.0197197716658018,9635,18.2192
"89","firm_inv","A",16.7305,46.9428,33.1477,12.3392,3.9685,2.7631,44.1261,0.318187370221082,0.415715344699778,0.7592,0.3825,0.1927,-0.0669,-0.0396726517649933,40935,33.1477
"90","firm_inv","BBB",5.622,14.9166,8.4606,13.0795,5.7703,8.5051,23.5143,0.204961286186319,0.629205036647247,1.0795,0.7861,0.0662,0.0081,0.020861074123391,2027.7,8.4606
"91","firm_inv","BBB",0.3252,16.1852,9.7065,0.6917,0.3146,7.9932,30.3923,0.28869638223172,0.385234899328859,0.5984,0.3997,0.1217,-0.0887,-0.114181041062433,2620.4,9.7065
"92","firm_inv","A",-2.1385,7.0057,-0.0014,4.1241,-1.1812,-7e-04,15.5873,1.57310620605274,0.0288675554756177,2.6048,2.5534,2.3547,0.223,0.1327313010016,1075.579,-0.0014
"93","firm_inv","AA",-8.2906,5.1871,-0.5319,20.1856,4.3677,-0.3234,1.3277,0.1194678946022,0.184859154929577,1.3942,1.366,1.1315,0.3462,0.05154771041187,3909,-0.5319
"94","firm_inv","AA",-8.426,-2.3034,-6.5149,14.5853,4.1789,-4.2949,15.2187,0.151480005216999,0.321322824431786,1.6607,1.5373,0.9817,0.3462,0.0596277480698696,1571.785,-6.5149
"95","firm_inv","BBB",6.459,15.9257,9.5152,11.8274,6.8739,9.6351,11.9143,0.361222847948512,1.13290488431877,2.0285,1.0517,0.4193,0.1055,0.153277401065012,2610.3,9.5152
"96","firm_inv","BBB",-4.2998,4.0144,-4.8048,-6.661,-3.932,-4.2438,19.3985,0.418835736897643,0.371576763485477,1.744,0.5668,0.0419,0.1161,0.105111970922734,3411.6,-4.8048
"97","firm_inv","BBB",10.9203,31.6329,21.1997,12.5556,4.3174,2.7475,45.2482,0.0966207511644039,0.481902058197303,0.8013,0.5628,0.0546,-0.1097,-0.0277474977702904,10091,21.1997
"98","firm_inv","BBB",2.5929,5.7342,3.7304,17.5251,4.3677,3.0075,31.9772,0.269477217249797,0.231680821647245,1.6188,0.6156,0.4264,0.053,0.159326688364524,19664,3.7304
"99","firm_inv","A",35.8812,51.7976,42.5636,23.3267,6.3896,38.7455,53.6528,0.380973888969046,1.41695520450119,0.5918,0.5649,0.2909,-0.1427,-0.031556143839641,478.227,42.5636
