"","Cote_crédit_num","Cote_crédit","RATINGS","Marge_bénéficiaire nette","Marge_sur_EBITDA","Marge_sur_EBIT","Rendement_sur_cap_prop","Rendement_sur_actif","Dette_LT","Total_actif","Flux_de_trésorie_d'expl","Passif_courant","ratio_ben_avt_impot_sur_frais_int","ratio_tot_dette_sur_tot_actif","ratio_actuel","Ratio_de_liquid_réduite","Ratio_de_liquidité","Fonds_roulement","Ratio_Fonds_de_roulmt_sur_ventes","Marge_opérationnelle","Beta_applique","ratio_Flux_de_TR_expl_sur_passif_cour","ratio_Fonds_de_roulement_sur_tot_actif"
"18",4,"BBB","BBB+",26.5045,29.2113,28.1105,33.9036,19.1791,215.861,1232.261,219.286,111.088,11.1773,17.7368,1.8914,1.6009,0.9253,99.023,0.1219,28.1105,0.8219,1.97398458879447,0.0803587876269719
"19",5,"BB","BB-",3.8566,10.0581,7.2089,9.2377,4.0225,1101.2,8872.5,418.8,2647.8,4.2599,16.8408,1.9625,1.5275,0.3526,2548.4,0.2606,7.2089,0.7896,0.158169046000453,0.287224570301493
"20",4,"BBB","BBB+",11.4498,30.0159,20.3361,15.1985,5.4239,2931.8999,6617.5,640.6,396.6,3.0064,45.1681,3.2022,2.7037,1.7637,873.4,0.2389,20.3361,0.4102,1.61522945032779,0.131983377408387
"21",4,"BBB","BBB+",0.7068,7.6829,2.7966,2.1749,0.7577,1168,3144,156,614,1.1974,40.4898,1.8176,0.9072,0.0489,502,0.1552,2.7966,0.5153,0.254071661237785,0.159669211195929
"22",4,"BBB","BBB+",2.6169,11.8283,7.4669,10.5263,2.9568,1045,2637,169,600,2.3516,45.9992,1.64,0.9433,0.0683,384,0.1286,7.4669,0.2341,0.281666666666667,0.145620022753129
"23",4,"BBB","BBB",6.4832,14.189,8.2429,13.6546,4.8055,367.667,1274.049,135.067,338.205,4.1198,33.4675,1.243,0.7854,0.211,82.19,0.1087,8.2429,0.5478,0.399364290888662,0.0645108626120346
"24",4,"BBB","BBB+",1.6773,11.686,5.9875,4.749,1.8935,504.262,1392.8199,132.962,243.66,2.4149,37.1962,1.7829,0.979,0.1311,190.758,0.1068,5.9875,0.674,0.545686612492818,0.136958123587981
"25",5,"BB","BB+",-9.662,2.8213,0.4717,-33.238,-16.9511,835.1,4939.7998,-139.2,1690.9,2.2299,16.9582,1.9358,1.1781,0.5729,1582.4,0.1751,0.4717,1.6297,-0.0823230232420604,0.320336868712777
"26",5,"BB","BB+",2.1193,4.9785,2.7995,8.0617,4.8101,130.581,5937.985,-85.126,2258.408,15.3661,2.2221,2.0018,1.182,0.3913,2262.556,0.1673,2.7995,1.2888,-0.0376929235107208,0.381030938946461
"27",4,"BBB","BBB-",1.326,36.5817,15.5957,9.222,3.4274,805.572,1784.264,95.874,98.2,1.2721,45.1487,0.5238,0.4523,0.0344,-46.767,0.1397,15.5957,0.3394,0.976313645621181,-0.0262108073693131
